index,x,y,z
0,0.712670,0.832290,0.000000
1,0.663319,0.784545,-0.020825
2,0.638591,0.718517,-0.023224
3,0.676029,0.660159,-0.021002
4,0.722245,0.649224,-0.017356
5,0.650929,0.605076,-0.017098
6,0.613051,0.511588,-0.030926
7,0.593321,0.461422,-0.038876
8,0.578443,0.411401,-0.044144
9,0.695468,0.593965,-0.023742
10,0.676452,0.476121,-0.041792
11,0.667458,0.406134,-0.048918
12,0.662367,0.341668,-0.049906
13,0.734823,0.609988,-0.034243
14,0.738652,0.513845,-0.064440
15,0.733297,0.447901,-0.080385
16,0.728680,0.375805,-0.084383
17,0.770658,0.663004,-0.045273
18,0.759793,0.584396,-0.057337
19,0.741479,0.613923,-0.044732
20,0.729654,0.664958,-0.033843
